Name,Gender,Surnames,Hobby,Sub_Category,Category,Cities,Regions,Hobbies
Aaliyah,F,Smith,Aeromodelling,Building Models,Arts & Crafts,London,London,"One of my favorite things to do is to take long walks in the park, especially during the fall when the leaves are changing colors."
Aaron,F,Brown,Airbrushing,Painting,Arts & Crafts,Birmingham,West Midlands,I have a passion for cooking and love to experiment with new recipes and ingredients.
Abbey,F,Wilson,Arts,Painting,Arts & Crafts,Glasgow,Scotland,I find that yoga is the perfect way to unwind and de-stress after a long day at work.
Abbi,F,Robertson,Beadwork,Sewing & Knitting,Arts & Crafts,Liverpool,North West,"As a nature enthusiast, I enjoy spending my weekends exploring new hiking trails and camping in the wilderness."
Abbie,F,Campbell,Blacksmithing,Arts & Crafts,Arts & Crafts,Bristol,South West,"I love to paint and find inspiration in the world around me, whether it's a beautiful sunset or a bustling cityscape."
Abby,F,Stewart,Bookbinding,Arts & Crafts,Arts & Crafts,Manchester,North West,"I am an avid reader and enjoy getting lost in a good book, particularly ones that explore complex human relationships."
Abdul,F,Thomson,Bridge Building,Building Models,Arts & Crafts,Sheffield,Yorkshire Humber,I find solace in gardening and love nothing more than watching my plants grow and thrive.
Abdullah,F,Anderson,Building Dollhouses,Building Models,Arts & Crafts,Leeds,Yorkshire Humber,I have a passion for photography and enjoy capturing special moments and memories for myself and others.
Abe,F,Scott,Calligraphy,Writing,Arts & Crafts,Edinburgh,Scotland,I am a musician at heart and love to sing and play my guitar whenever I get the chance.
Abednego,F,Macdonald,Candle Making,Arts & Crafts,Arts & Crafts,Leicester,East Midlands,"I am a thrill-seeker and love to try new things, whether it's bungee jumping or skydiving."
Abel,F,Reid,Cardstacking,Arts & Crafts,Arts & Crafts,Coventry,West Midlands,"I am a fan of all things sports and love to play basketball, football, and soccer."
Abi,F,Murray,Cartooning,Painting,Arts & Crafts,Bradford,Yorkshire Humber,I am a big fan of art and love visiting museums and galleries to explore new works and learn about different artists.
Abid,F,Clark,Ceramics,Clay Arts,Arts & Crafts,Cardiff,Wales,I have a love for animals and enjoy volunteering at my local animal shelter.
Abigail,F,Taylor,Coloring,Painting,Arts & Crafts,Belfast,Northern Ireland,I enjoy playing video games and find that they offer a unique and immersive form of entertainment.
Abigal,F,Ross,Conworlding,Arts & Crafts,Arts & Crafts,Nottingham,East Midlands,I have a passion for fashion and enjoy experimenting with different styles and trends.
Abner,F,Young,Crafts,Arts & Crafts,Arts & Crafts,Kingston upon Hull,Yorkshire Humber,I love to dance and find that it's the perfect way to express myself and let loose.
Abraham,F,Paterson,Crochet,Sewing & Knitting,Arts & Crafts,Newcastle upon Tyne,North East,I have a love for travel and enjoy exploring new cultures and cuisines.
Abram,F,Watson,Crocheting,Sewing & Knitting,Arts & Crafts,Stoke-on-Trent,West Midlands,I am a writer at heart and enjoy jotting down my thoughts and ideas in my journal.
Absalom,F,Mitchell,Cross-Stitch,Sewing & Knitting,Arts & Crafts,Southampton,South East,I enjoy practicing mindfulness and find that meditation is a great way to stay centered and focused.
Absolom,F,Fraser,Digital Photography,Photography,Arts & Crafts,Derby,East Midlands,I have a love for history and enjoy visiting historical sites and museums to learn more about the past.
Abu,F,Morrison,Drawing,Painting,Arts & Crafts,Portsmouth,South East,I enjoy tinkering with gadgets and finding new ways to make technology work for me.
Ackroyd,F,Walker,Embroidery,Sewing & Knitting,Arts & Crafts,Brighton,South East,I have a passion for fitness and enjoy pushing myself to new limits through weightlifting and cardio workouts.
Ada,F,Mcdonald,Felting,Sewing & Knitting,Arts & Crafts,Plymouth,South West,I am a lover of all things musical theater and enjoy attending shows whenever I can.
Adah,F,Graham,Floral Arrangements,Arts & Crafts,Arts & Crafts,Northampton,East Midlands,"I find joy in cooking and baking for my loved ones, especially during the holidays."
Adaline,F,Miller,Gunsmithing,Arts & Crafts,Arts & Crafts,Reading,South East,I am a lover of all things vintage and enjoy collecting antiques and retro items.
Adam,F,Johnston,Gyotaku,Painting,Arts & Crafts,Luton,East,I enjoy practicing martial arts and find that it helps me stay disciplined and focused.
Addie,F,Henderson,Jet Engines,Building Models,Arts & Crafts,Wolverhampton,West Midlands,I have a love for astronomy and enjoy stargazing and exploring the mysteries of the universe.
Addison,F,Cameron,Jewelry Making,Arts & Crafts,Arts & Crafts,Bolton,North West,I am a lover of all things DIY and enjoy taking on home improvement projects.
Adeel,F,Duncan,Keep A Journal,Writing,Arts & Crafts,Aberdeen,Scotland,I have a passion for writing and enjoy creating content for my blog and social media channels.
Adela,F,Gray,Knitting,Sewing & Knitting,Arts & Crafts,Bournemouth,South West,I enjoy spending time in nature and find that it's the perfect way to disconnect from technology and recharge.
Adelaide,F,Kerr,Knotting,Sewing & Knitting,Arts & Crafts,Norwich,East,I am an adrenaline junkie and love to go rock climbing and white water rafting.
Adele,F,Hamilton,Leathercrafting,Sewing & Knitting,Arts & Crafts,Swindon,South West,"I find joy in volunteering and helping those in need, whether it's at a soup kitchen or a charity event."
Adelia,F,Hunter,Macrame,Sewing & Knitting,Arts & Crafts,Swansea,Wales,I am a lover of all things literature and enjoy reading classic novels and contemporary fiction.
Adelina,F,Davidson,Making Model Cars,Building Models,Arts & Crafts,Milton Keynes,South East,I enjoy exploring new neighborhoods and finding hidden gems in my city.
Adeline,F,Ferguson,Matchstick Modeling,Building Models,Arts & Crafts,Southend-on-Sea,East,"I have a passion for languages and enjoy learning new ones, whether it's through books, classes, or travel."
Adeliza,F,Bell,Model Railroading,Building Models,Arts & Crafts,Middlesbrough,North East,"As a musician, I love spending my evenings jamming with my bandmates and exploring new sounds."
Adelle,F,Mackenzie,Model Rockets,Building Models,Arts & Crafts,Peterborough,East,I am an avid reader and always have a book with me wherever I go.
Aden,F,Martin,Modeling Ships,Building Models,Arts & Crafts,Sunderland,North East,"In my free time, I enjoy experimenting with new recipes and cooking for my family and friends."
Adil,F,Simpson,Models,Building Models,Arts & Crafts,Warrington,North West,I am passionate about yoga and have been practicing it for years. It helps me find inner peace and balance.
Adina,F,Grant,Nail Art,Arts & Crafts,Arts & Crafts,Huddersfield,Yorkshire Humber,"I love traveling to new places, experiencing different cultures, and trying new foods."
Admiral,F,Allan,Needlepoint,Sewing & Knitting,Arts & Crafts,Slough,South East,"When I'm not working, I enjoy playing video games and getting lost in virtual worlds."
Adnan,F,Kelly,Origami,Paper Arts,Arts & Crafts,Oxford,South East,I find great joy in volunteering at local animal shelters and giving back to my community.
Adolph,F,Macleod,Painting,Painting,Arts & Crafts,York,Yorkshire Humber,I am a fitness enthusiast and love to challenge myself with new workouts and routines.
Adolphus,F,Black,Papermache,Paper Arts,Arts & Crafts,Poole,South West,I have a passion for photography and love capturing special moments and beautiful landscapes.
Adrian,F,Mackay,Papermaking,Paper Arts,Arts & Crafts,Ipswich,East,"As a writer, I spend my days crafting stories and exploring new ideas."
Adriana,F,Wallace,Photography,Photography,Arts & Crafts,Telford,West Midlands,I am a history buff and love visiting museums and learning about different eras and civilizations.
Adrianne,F,Mclean,Pottery,Clay Arts,Arts & Crafts,Cambridge,East,I am a big fan of board games and love hosting game nights with my friends.
Adrienne,F,Kennedy,Quilting,Sewing & Knitting,Arts & Crafts,Dundee,Scotland,"I love hiking and camping in the wilderness, discovering new trails and breathtaking views."
Agatha,F,Gibson,Scrapbooking,Arts & Crafts,Arts & Crafts,Gloucester,South West,I am a collector of vinyl records and spend hours hunting for rare finds and hidden gems.
Agnes,F,Russell,Sewing,Sewing & Knitting,Arts & Crafts,Blackpool,North West,I am an adrenaline junkie and love extreme sports like skydiving and bungee jumping.
Agness,F,Marshall,Sketching,Arts & Crafts,Arts & Crafts,Birkenhead,North West,"I enjoy attending concerts and festivals, soaking up the energy of live music and performances."
Ahmed,F,Gordon,Soap Making,Arts & Crafts,Arts & Crafts,Watford,East,I am a language learner and enjoy practicing new languages and immersing myself in different cultures.
Aian,F,Burns,String Figures,Sewing & Knitting,Arts & Crafts,Sale,North West,I am a painter and love to express my emotions and ideas through colors and brushstrokes.
Aidan,F,Stevenson,Tatting,Sewing & Knitting,Arts & Crafts,Colchester,East,I am a science enthusiast and enjoy reading about new discoveries and technological advancements.
Aiden,F,Milne,Taxidermy,Arts & Crafts,Arts & Crafts,Newport,Wales,"I love playing sports and being active, especially soccer and basketball."
Aileen,F,Craig,Textiles,Sewing & Knitting,Arts & Crafts,Solihull,West Midlands,I am a movie buff and enjoy watching films from different genres and eras.
Ailsa,F,Wood,Tombstone Rubbing,Arts & Crafts,Arts & Crafts,High Wycombe,South East,I am a fan of comic books and enjoy collecting and reading them in my spare time.
Aimee,F,Wright,Woodworking,Arts & Crafts,Arts & Crafts,Exeter,South West,I enjoy gardening and find peace and relaxation in tending to my plants and flowers.
Ainsley,F,Munro,Button Collecting,Collecting,Collecting,Gateshead,North East,I am a fan of podcasts and enjoy listening to them on various topics and interests.
Ainsworth,F,Johnstone,Coin Collecting,Collecting,Collecting,Blackburn,North West,I am a fan of fashion and enjoy exploring new styles and trends.
Aisha,F,Ritchie,Collecting,Collecting,Collecting,Cheltenham,South West,I am a fan of true crime and enjoy reading about real-life mysteries and investigations.
Ajay,F,Sinclair,Collecting Antiques,Collecting,Collecting,Maidstone,South East,"I enjoy playing musical instruments, especially the guitar and piano."
Alan,F,Watt,Collecting Artwork,Collecting,Collecting,Chelmsford,East,I am a fan of astrology and enjoy learning about the stars and planets and how they influence our lives.
Alana,F,Mckenzie,Collecting Hats,Collecting,Collecting,Salford,North West,I am a fan of cars and enjoy attending car shows and learning about different models and engines.
Alanna,F,Muir,Collecting Music Albums,Collecting,Collecting,Basildon,East,"I love spending time outdoors, whether it's hiking, fishing, or just lounging in the sun."
Alannah,F,Murphy,Collecting RPM Records,Collecting,Collecting,Doncaster,Yorkshire Humber,"I have a passion for exploring new cultures and cuisines, and I love to travel and try new foods wherever I go."
Alasdair,F,Sutherland,Collecting Sports Cards,Collecting,Collecting,Basingstoke,South East,"When I'm not working, you can usually find me hiking in the mountains or running along the beach - I love being outdoors and staying active."
Alastair,F,Mcmillan,Collecting Swords,Collecting,Collecting,Worthing,South East,I'm a huge music fan and I love going to concerts and festivals - there's nothing quite like the energy of a live show.
Alban,F,White,Diecast Collectibles,Collecting,Collecting,Eastbourne,South East,I'm an avid reader and love getting lost in a good book - there's something about the escape that's so appealing to me.
Albany,F,Mckay,Dolls,Collecting,Collecting,Crawley,South East,"I enjoy painting and sketching, and find it to be a therapeutic way to unwind after a long day."
Albert,F,Millar,Gun Collecting,Collecting,Collecting,Rochdale,North West,"I'm a big sports fan, especially when it comes to basketball - I love the strategy and intensity of the game."
Alberta,F,Hughes,Rock Collecting,Collecting,Collecting,Rotherham,Yorkshire Humber,I'm a bit of a foodie and love trying out new recipes and experimenting with different ingredients in the kitchen.
Albertina,F,Crawford,Shopping,Collecting,Collecting,Stockport,North West,I love spending time with my pets - whether it's taking my dog for a walk or cuddling with my cats on the couch.
Albin,F,Williamson,Stamp Collecting,Collecting,Collecting,Gillingham,South East,"I have a deep appreciation for the arts, especially theater and dance, and try to attend shows as often as I can."
Albina,F,Docherty,Tool Collecting,Collecting,Collecting,Sutton Coldfield,West Midlands,I'm a history buff and love learning about different time periods and cultures - I find it fascinating to see how things have evolved over time.
Albion,F,Maclean,Toy Collecting,Collecting,Collecting,Woking,South East,I love to write and find it to be a great way to express myself and work through my thoughts and emotions.
Aldred,F,Fleming,Train Collecting,Collecting,Collecting,Wigan,North West,I'm a big fan of video games and love the immersive experience they provide - it's like stepping into another world.
Alec,F,Cunningham,Belly Dancing,Dancing,Dancing,Lincoln,East Midlands,I enjoy photography and love capturing moments and memories that I can cherish for years to come.
Aleck,F,Dickson,Dancing,Dancing,Dancing,Oldham,North West,I have a green thumb and love tending to my garden - there's something so satisfying about watching plants grow and thrive.
Aled,F,Boyle,Pole Dancing,Dancing,Dancing,Wakefield,Yorkshire Humber,I'm passionate about fitness and nutrition and love trying out new workouts and recipes to fuel my body.
Alesha,F,Douglas,Educational Courses,Educational,Educational,St Helens,North West,"I love spending time with my friends and family, whether it's going out for dinner or hosting game nights at home."
Alessandro,F,Mcintosh,Genealogy,Educational,Educational,Worcester,West Midlands,I'm a big fan of DIY projects and love the feeling of accomplishment that comes with completing something with my own hands.
